System,en,fa,kk,pes_Arab,prs_Arab,ru
always_large,77.7 ± 0.5,54.2 ± 1.4,79.0 ± 3.6,90.0 ± 1.0,90.0 ± 0.0,85.0 ± 0.5
always_small,46.3 ± 1.1,35.0 ± 0.0,49.0 ± 1.0,51.0 ± 5.6,56.7 ± 1.4,49.5 ± 1.7
oracle,81.8 ± 0.5,80.8 ± 1.4,87.0 ± 0.0,95.0 ± 1.7,94.2 ± 1.4,90.7 ± 1.0
routeguard_english_trained,77.1 ± 1.6,65.8 ± 5.2,80.3 ± 2.3,89.0 ± 3.6,90.0 ± 0.0,85.5 ± 2.0
routeguard_per_language_calibration,76.8 ± 0.8,57.5 ± 0.0,79.7 ± 3.2,89.3 ± 3.1,90.0 ± 0.0,84.8 ± 0.8
routeguard,77.2 ± 1.4,57.5 ± 0.0,80.0 ± 3.6,89.7 ± 2.5,90.0 ± 0.0,85.7 ± 0.6
